#Id|UserId|Type|Amount|Date|Description
1|1|Deposit|5258|20.08.2026 16:55:00|Пополнение счета 40817810000000000001
2|1|Deposit|1258|20.08.2026 16:55:39|Снятие со счета 40817810000000000001
3|1|Deposit|10000|20.08.2026 16:58:45|Пополнение счета 40817810000000000001
4|1|Deposit|6000|24.08.2026 15:16:29|Пополнение счета 40817810000000000001
5|1|Deposit|6000|24.08.2026 15:16:48|Снятие со счета 40817810000000000001
6|1|Deposit|3000|24.08.2026 17:07:17|Пополнение счета 40817810000000000001
7|1|Deposit|3000|25.08.2026 12:49:39|Пополнение счета 40817810000000000001
8|1|Deposit|23,1|25.08.2026 12:55:34|Пополнение счета 40817810000000000001
9|1|Deposit|5000|26.08.2026 14:43:22|Пополнение счета 40817810000000000001
10|1|Deposit|1000|26.08.2026 14:44:16|Снятие со счета 40817810000000000001
11|3|Deposit|10000|26.08.2026 15:06:04|Пополнение счета 40817810000000000003
